author,comment,published_at,likes
@heavenyeah69,"When I was a kid the things I did were hidden under the grid
Young and naive I never believed that love could be so well hid
With regret I'm willing to bet and say the older you get
It gets harder to forgive and harder to forget
It gets under your shirt like a dagger at work
The first cut is the deepest but the rest still flipping hurt
You build your heart of plastic
Get cynical and sarcastic
And end up in the corner on your own

'Cause I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction oh no

So what's the point in getting your hopes up
When all you're ever getting is choked up
When you're coked up
And can't remember the reason why you broke up
You call her in the morning
When you're coming down and falling like an old man on the side of the road
'Cause when you're apart you don't want to mingle
When you're together you want to be single
Ever the chase to taste the kiss of bliss
That made your heart tingle
How much greener the grass is
With those rose tinted glasses
But the butterflies they flutter by and leave us on our arses

'Cause I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction
There's fish in the sea for me to make a selection
I'd jump in if it wasn't for my ear infection
'Cause all I want to do is try to make a connection
It seems I've been running in the wrong direction oh

Oh I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction
I'd love to feel love but I can't stand the rejection
I hide behind my jokes as a form of protection
I thought I was close but under further inspection
It seems I've been running in the wrong direction ohh
It seems like I'm running in the wrong direction ohh
Seems like I'm running in the wrong direction ohh
Well it seems I've been running in the wrong direction oh no
Seems I've been running in the wrong direction, no",2025-02-21T03:27:36Z,0
@zinatroksana,💌,2025-02-12T12:24:54Z,0
@augustoribeiroo,2025 quem?,2025-02-11T09:39:51Z,1
@gift_auph9636,Who is listening in 2025... This song still a masterpiece ❤..,2025-02-11T06:55:57Z,2
@enverteimurkhanly9026,"In 2025 it's the same taste, the same story like years ago",2025-01-25T03:15:01Z,3
@WassimIbnYahya-m2s,Someone in 2025 ?,2025-01-20T00:17:11Z,9
@freddyernestoresendizlopez2649,"Esta canción me recuerda mi época en mi preparatoria, tenía una novia muy bonita, con esta canción me acuerdo de ella fue entre el año 2017 a 2019",2025-01-19T06:14:50Z,0
@Incephelezikakhiye,Who's here in 2025?,2025-01-15T21:15:32Z,5
@nandafreeze,2025 anyone???,2025-01-12T14:37:20Z,1
@ChristianSchuett93,"2025 und ich bin immer noch hier! 
Das mag seine Gründe haben warum ich hier bin, warum du hier bist. 
Natürlich ist das ein Mega schöner Song. Aber er hat eben auch seine Geschichte und jeder hat seine ganz eigene Geschichte mit dem Lied. 
Und genau aus diesem Gründen bin ich nach all den Jahren noch hier.",2025-01-08T15:34:32Z,2
@s.e.6425,Who is listening in 2025?🙋🏻‍♂️,2025-01-06T01:43:51Z,0
@Preciousmetalrecovery000,greatest hits..,2025-01-05T21:49:39Z,0
@yannickkouadio3148,2025 still listening ❤,2025-01-05T05:13:24Z,0
@thezaff07,"Funny how 12 years later I'm back to square one
This song will always remain an anthem for people with attachment issues",2025-01-04T18:55:15Z,0
@JaeJo047,2025 damn,2025-01-01T09:00:16Z,1
@ephratalevi5890,1st Jan 2025 ?,2025-01-01T07:18:03Z,0
@humairaferdous7031,Your songs are amazing 👍,2024-12-30T09:49:34Z,0
@tbkhris,Such a great storyteller...👌🏾💯,2024-12-23T04:26:20Z,0
@PastryJeff,When you realize this has the same continuous chord progression as Let Her Go,2024-12-01T14:19:25Z,0
@samadeaffiliate9078,"""You built your heart a plastic, you're cynical and sarcastic... You end up in the corner on your own."" Oh well.",2024-11-14T01:45:23Z,0
@Frankjuma254,Lyrics please 😢😊,2024-11-06T14:17:06Z,0
@SugbongCogon,Liam pyne Wrong Direction,2024-10-20T02:30:38Z,0
@LetsDoPlaythrough16,2025 anyone??,2024-09-29T01:15:21Z,0
@KM-ze5md,Hidden gem! Annoyed nevet heard this song before now,2024-09-18T19:39:39Z,1
@factnestofficials,Any Bangladeshi 🇧🇩,2024-09-16T10:08:41Z,2
@iamclydieCS,LOVE MY WIFEY :3,2024-09-13T07:23:50Z,0
@ben.watchin,"2024 and Still unchanged, with new tunes 👊😎
A fellow dark soul passenger 🖤",2024-09-09T20:00:32Z,1
@00_tmi_00,Oops Im running in the wrong direction,2024-09-09T07:25:15Z,0
@hishamalmahadi8950,It's seems i've been running in the wrong direction,2024-09-04T20:18:51Z,1
@silvanaprivitera6192,I do from Sicily Italy,2024-09-01T14:39:49Z,0
@AlbeGriffin-bu4yb,This can be true 1:40 because sometimes when you are single you want to be with someone (mingle) but when you are with someone you might want to be single,2024-08-30T19:54:58Z,3
@bronamorgan9187,I've been listening to this guy since I was 4 years old,2024-08-16T19:05:20Z,2
@emanuelgella8201,Who's listening in August 2024? Especially in my country Tanzania Africa,2024-08-06T10:22:33Z,3
@elinekrijnsen7362,"I love to feel loved but I can't stand the rejection. This is so true. This song has helped me so much through some difficult times, thank you passenger ❤❤",2024-07-28T19:01:37Z,10
